,id,kills,assists,arrow_accuracy,kit,position
149,JZBallin,1,0,0.4,Knight,2
150,elephantlump123,0,0,,Frog,9
151,May_Rin,0,0,,Scout,10
152,MagicBlackDimond,0,0,,Scout,8
153,Tayeor_,0,0,,Scout,12
154,Mamantlous,3,0,0.0,Scout,1
155,__cb,2,1,,Scout,3
156,Spongle47,1,0,1.0,Armorer,4
157,9Oth,1,0,,Knight,6
158,TheTyrian,1,0,,Pro,5
159,BAZIV,0,0,,Scout,8
160,qndx,0,0,,Scout,12
161,gHqDer4ga1xddF,0,0,,Armorer,9
162,Dr_puffy_fish,0,0,,Knight,11
163,Jxka,0,0,,Frog,10
164,iiGirts,0,0,,Knight,7
165,zxcraitn,7,0,,Armorer,1
166,BenjaminBodge,2,1,0.2,Knight,2
167,gtgRobi,1,0,0.0,Enderman,4
168,Qmeqa,0,0,,Farmer,9
169,skngoblvn,0,0,0.0,None,3
170,Jaedid,0,0,,Knight,8
171,ibookshelf,0,0,,Ecologist,11
172,vfil,0,0,,Knight,7
173,Qrchid,0,0,,Armorer,6
174,BlazeRox555,0,0,,Knight,5
175,sick_85,0,0,,Baseball Player,12
176,flexintape,4,0,,Scout,1
177,Zutroy__,2,0,,Knight,4
178,KieGameYT,2,0,,Ecologist,6
179,mitchellgamer901,1,0,,Pro,3
180,FolizX,1,0,,Knight,2
181,VimersYT,0,0,0.33,Knight,7
182,wilby1814,0,0,,Pig Rider,9
183,SwiftSwordMC,0,0,0.3,Scout,5
184,Cythius,0,0,,Enderman,11
185,Greex,0,0,,Armorer,8
186,44488,0,0,,Knight,10
187,eddyalborz,4,0,0.22,Farmer,1
188,Bndhups,1,0,,Enderman,4
189,SnackyEpic,1,0,0.0,Armorer,8
190,Ilqy,0,0,,Ecologist,12
191,iRUFF,0,0,0.83,Ecologist,6
192,Save_Spider1,0,0,,Scout,7
193,NOXBORZZ,0,0,,Pro,5
194,revoss,0,0,,Scout,9
195,SpecularHusky,0,0,,Knight,10
196,Sorroish,0,0,0.5,Knight,11
197,Zloth,0,0,0.28,Scout,2
198,BrodsKz,1,0,0.33,Ecologist,4
199,S3DOH_99,1,1,0.15,Knight,2
200,notsolarpro,1,0,,Knight,6
201,xKitKat_,1,0,0.33,Knight,3
202,Arvidovling,0,0,,Warlock,8
203,RAM_Limiter,0,0,,Grenade,11
204,BuckySquirrel,0,0,,Scout,10
205,d9lton,0,0,,Armorer,7
206,GrGeorge_oik,0,0,,Scout,12
207,Tiggles,0,0,,Farmer,9
208,CG_CreatorYT,0,0,,Enderman,5
209,WildMarco,7,0,0.86,Farmer,1
210,Leeotee,1,0,,Farmer,4
211,Trikeh,1,0,,Jester,9
212,iSnowFlakes,0,0,0.15,Scout,5
213,MC_FuriousTTV,0,0,,Pharaoh,12
214,BadNavy,0,0,,Enderman,3
215,gogy420,0,1,,Scout,11
216,AloneExtra,0,0,,Pyro,10
217,VioSplat,0,0,,Pro,2
218,Ice__wizzard,0,0,0.0,Knight,6
219,Stormskyro,0,0,,Knight,8
220,sHaDuF,4,0,,Farmer,1
221,Kekeigenkai,2,0,,Scout,3
222,mistahmina,1,0,,Farmer,6
223,AE_Jbone,0,0,,Armorer,7
224,EisaTheKing,0,0,,Farmer,12
225,Im_AWS13,0,0,,Farmer,2
226,makyz,0,0,,Scout,8
227,TheIronGolem808,0,0,,Scout,10
228,MythicalRev,0,0,,Scout,11
229,mille8811,0,0,0.0,Knight,4
230,Dariusloot,0,0,,Scout,5
231,IPGGG,5,0,0.0,Scout,1
232,ItsMestniy,3,0,,Scout,3
233,GangstaToad,1,1,,Farmer,5
234,NotBoomy,1,0,0.46,Knight,2
235,BRTreed,0,0,,Armorer,11
236,SayaTokido,0,0,,Knight,12
237,Guimatou,0,0,0.0,Scout,9
238,Marshmallo1,0,0,,Armorsmith,6
239,gagevz,0,0,,Enderman,7
240,1RealJoker_,0,0,,Frog,4
241,BigMil123,0,0,1.0,Armorer,10
242,getlife,4,0,,Scout,1
243,DaRealGamerFox,2,0,,Slime,2
244,Dazais_skincrust,1,0,0.5,Knight,7
245,SkittleScrub,1,0,,Knight,11
246,HatedTurtle,1,0,1.0,Knight,3
247,Idksumname,0,0,,Frog,10
248,Clarifyy_NL,0,0,,Knight,6
249,SodaDotZip,0,0,,Energix,12
250,Wormy518,0,1,,Knight,9
251,FolizX,0,0,,Armorsmith,8
