,id,kills,assists,arrow_accuracy,kit,position
651,mr_purpel,0,0,,Knight,4
652,qlist,0,0,,Armorer,6
653,Catutu27,0,0,,Knight,2
654,YouareKind,0,1,,Scout,7
655,UtterlessCow,0,0,,Armorer,8
656,kouyouyama1,0,0,,Armorer,9
657,Sewilade,0,0,,Frog,10
658,jaki19vcgg,0,0,,Cannoneer,12
659,Titan16K,5,0,,Knight,1
660,kubawara,2,0,0.08,Scout,3
661,LamaRaid,1,1,0.67,Pro,2
662,DeadMike,1,0,,Armorer,4
663,xOmegaPig,1,0,,Knight,8
664,d0ub1e_4nd_a11,1,0,,Scout,7
665,Layny001,0,0,,Knight,10
666,MowTheLawn,0,0,,Ecologist,9
667,KSlasherX3,0,0,,Frog,5
668,hjljhkl,0,0,,Scout,11
669,Zenoriam,0,0,,Speleologist,12
670,LaneS2003,4,1,0.49,Baseball Player,1
671,cooldude80,2,1,0.13,Knight,4
672,athkiasaris1,1,0,,Armorsmith,7
673,LmateNoHomo,1,0,,Knight,8
674,BadToo,1,1,0.31,Knight,3
675,jesseplayz726,0,0,0.4,Fisherman,2
676,PileOfBodies,0,0,,Armorsmith,5
677,iJxson,0,0,,Grenade,6
678,LemenSuki,0,0,,Knight,12
679,marriot72,0,0,,Scout,11
680,atsuhiro1231,0,0,0.0,Knight,9
681,Condescendance,5,0,,Scout,1
682,yung_vipper,2,0,,Frog,4
683,erses,1,0,,Knight,7
684,Tavi_Simpaticul,1,0,,Enderchest,3
685,marcu_bedwars,0,0,,Knight,6
686,YERFAD,0,0,,Scout,10
687,KSlasherX3,0,0,,Frog,5
688,SleepyLove,0,0,1.0,Scout,11
689,d0ub1e_4nd_a11,0,0,,Scout,9
690,Frostics,0,0,,Knight,12
691,BadToo,0,0,,Knight,2
692,Xx3eOm3Try_K1dxX,4,0,0.31,Knight,1
693,bearski_,3,0,0.0,Knight,4
694,ggdn,2,0,0.17,Thundermeister,2
695,Epic_Gamer626,1,0,,Knight,8
696,Layny001,0,0,,Knight,10
697,The_Flower890,0,0,,Frog,9
698,milky_245,0,0,,None,12
699,KSlasherX3,0,1,,Frog,7
700,forgotten_slime,0,0,,Engineer,3
701,Plutyu,0,0,,Cannoneer,11
702,VinceWiz,0,0,,Knight,5
703,Skywarslnsane,8,0,,Frog,1
704,Loli_144gg,1,0,,Hunter,7
705,Kainaluu,1,0,,Knight,3
706,Ohalr,1,0,,Knight,11
707,edwarp,0,0,,Knight,12
708,emaNsdrawroF,0,1,,Salmon,10
709,TechnoKing,0,0,,Knight,8
710,KL_RWHCz,0,0,,Armorer,6
711,maya379,0,0,,Knight,5
712,kawaiihead,0,0,,Frog,9
713,Twlydp,0,0,,Salmon,4
714,Th3SamLady,4,1,,Scout,1
715,JR78,2,0,,Frog,2
716,owur,2,1,,Scout,4
717,C0rzz,1,0,0.0,Pharaoh,5
718,Alyuun,0,0,,Enderman,9
719,bornfrompain2005,0,0,,Knight,12
720,z1y0,0,0,,Scout,11
721,CraftTooHard,0,1,,Frog,7
722,Vitoo__,0,0,0.0,Knight,6
723,eldad_,0,0,,Scout,10
724,MemmaGuy,0,0,,Knight,8
725,6lbbaby,3,0,,Ecologist,1
726,ThreeBlockReach,2,0,,Farmer,3
727,bigdawgtechno,1,1,,Pharaoh,4
728,hullu,1,0,,Knight,2
729,chuey,1,0,0.0,Armorer,8
730,Stefi0,0,0,,Scout,10
731,oliverh2014,0,0,,Armorer,6
732,ApexRotary,0,0,,Scout,9
733,UNCLEpennybagz,0,0,,Knight,11
734,N1ckEXE,0,0,,Salmon,7
735,DS_QinTian,0,0,,Knight,12
736,9gxz,5,0,,Frog,1
737,MeltingBlocks,2,0,0.4,Knight,5
738,NEO_G_MiTThiLL,1,0,,Scout,3
739,ghtjason,1,0,,Armorer,4
740,RaKaSaMa,1,0,,Knight,6
741,HARUSAKU8639,0,0,,Armorer,7
742,xN_jinqen,0,0,,Frog,11
743,mornaja,0,0,,Scout,8
744,GearBox808,0,0,,Armorer,2
745,jolyndal,0,0,,Scout,10
746,qicuu,0,0,0.14,Knight,9
747,__Debster__,5,0,,Scout,3
748,lotionborp,4,0,0.67,Armorer,1
749,qafh,1,0,,Knight,7
750,ImReallyHaven,0,0,,Knight,2
751,focafino7,0,1,0.33,Knight,5
752,TheKorvstrogen,0,1,,Energix,6
753,PresidentElmo,0,0,,Enderman,12
754,Fox_fire999,0,0,,Disco,11
755,Distance_place,0,0,0.33,Disco,9
756,floupzy,0,0,,Armorer,8
757,Domka,0,0,,Enderman,10
758,uziwe,4,0,,Scout,4
759,ItsFrail,2,0,,Scout,1
760,Yuki3296,1,0,,Snowman,3
761,ApexRotary,1,0,,Scout,6
762,Weiwiew,1,1,0.24,Knight,2
763,p3jm3h,0,0,,Knight,7
764,CountingWithElmo,0,0,,Farmer,10
765,_un_de_rs_co_re_,0,0,0.0,Knight,9
766,Phlasc,0,0,,Armorer,12
767,_unflavored,0,0,,Armorsmith,11
768,WhisperBehindYou,0,0,,Scout,8
769,Weiwiew,3,0,,Knight,2
770,craftymogs,2,0,,Knight,1
771,Thermodynamic,1,1,,Knight,5
772,ausz,1,0,0.0,Armorer,6
773,emaNsdrawroF,0,0,,Scout,11
774,Stefi0,0,0,,Scout,9
775,MirroredSpace,0,0,,Scout,8
776,Skywarslnsane,0,0,,Frog,12
777,kr_fly_squirrel,0,0,,Scout,7
778,Phlasc,0,0,,Armorer,4
779,Maxscumbag,0,0,,Farmer,10
780,CraftTooHard,5,0,,Frog,1
781,Weiwiew,2,0,,Knight,2
782,Maxscumbag,2,0,,Farmer,4
783,Tolihwo,1,0,,Scout,6
784,Supearl,0,0,,Knight,11
785,BritainMan,0,0,,Knight,3
786,night_leaf_tw,0,0,,Knight,12
787,VA10R,0,1,,Scout,10
788,ben168,0,1,,Scout,8
789,Phlasc,0,0,,Armorer,5
790,X_Haarukka,0,0,,Armorer,9
791,Stefi0,4,0,0.42,Scout,2
792,DRAGONKAR,2,0,0.25,Enderman,6
793,ThePsychoDino,1,1,,Scout,7
794,Piaj,1,0,,Farmer,1
795,Lyea,1,0,0.22,Pyro,4
796,Elementors,0,0,,Scout,12
797,PeaceTechnoblade,0,1,,Knight,8
798,ghtjason,0,0,,Armorer,9
799,kuki004,0,1,,Scout,5
800,poopaydanoh,0,0,,Pro,11
801,oSDol_,0,0,,Baseball Player,10
802,iiSkinny,7,0,0.28,Scout,1
803,Piaj,1,0,,Farmer,2
804,oSDol_,1,0,,Baseball Player,3
805,Dusk8,0,0,,Farmer,12
806,iiSpade,0,0,,Scout,5
807,Randov0,0,0,,Scout,6
808,DarthLucas95,0,0,,Ecologist,4
809,SeniorBaton,0,2,,Knight,8
810,_unflavored,0,1,,Armorsmith,10
811,Moospy,0,0,,Knight,11
812,_masaya_,0,1,,Frog,7
813,XieHan1117,2,0,,Farmer,6
814,xkook,2,0,,Knight,4
815,QingfaIsmyson,2,0,0.0,Knight,1
816,GamesSamPlays,0,0,,Enderman,5
817,DrLama99,0,0,,Farmer,7
818,WEEBALO,0,0,,Armorer,12
819,Supearl,0,0,,Knight,11
820,PeakApex,0,0,,Enderman,9
821,DarthLucas95,0,0,,Ecologist,10
822,Meelad,0,0,0.47,Scout,2
823,dvvgxhyvh,0,0,,Armorer,8
824,Linqn,4,1,,Scout,1
825,ItaiNaim,2,0,,Knight,4
826,Swj0909,2,0,,Scout,3
827,PARK0UR,1,0,,Farmer,2
828,Pudding_cup_,1,0,0.0,Knight,5
829,Lemonnita,0,2,,Knight,6
830,DukeRedwolf,0,1,,Scout,7
831,emaNsdrawroF,0,0,,Scout,12
832,VerdeDeParis,0,0,,Pro,8
833,peko_peko_lover,0,0,,None,10
834,dadiaoae,0,0,,Armorsmith,9
835,Maxscumbag,3,0,,Farmer,1
836,VimersYT,2,0,0.67,Knight,4
837,SwagGamer2,1,0,,Knight,3
838,Raefywaffle,1,0,,None,2
839,mornaja,0,0,,Scout,12
840,Portfs,0,0,,Knight,7
841,Myanky,0,0,,Frog,11
842,Supearl,0,0,,Knight,10
843,DangerVID,0,0,,Frog,5
844,realCUYT,0,0,,Armorer,9
845,a2cal,0,0,,Healer,8
846,Smellerbee,4,0,,Farmer,1
847,VimersYT,2,1,,Knight,3
848,HARUSAKU8639,1,0,,Armorer,4
849,_NoHaxJustRod_,1,0,,Ecologist,5
850,Dr_FFF,1,0,0.0,Scout,6
851,MozartMit3Beinen,1,0,0.0,Knight,2
852,Tadeomori,0,0,,Scout,7
853,Darkrilasa,0,0,,Frog,10
854,huntermoyer,0,0,,Scout,12
855,Ajniskala,0,0,,Scout,9
856,Rnojeje0525,0,0,,Armorer,8
857,Manati,4,2,,Scout,2
858,PeaceTechnoblade,3,0,,Knight,1
859,ST_FleX,1,0,,Enderchest,6
860,zechy25,1,0,0.4,Knight,4
861,Kinsco,1,0,,Knight,7
862,SwagGamer2,0,0,,Knight,11
863,Lemonnita,0,0,,Knight,10
864,T_Tr4p,0,0,0.29,Knight,9
865,lotionborp,0,0,,Armorer,12
866,Pudding_cup_,0,0,0.44,Knight,3
867,Gilles539,0,0,0.11,Knight,5
868,nahor11,6,0,0.44,Knight,1
869,SwagGamer2,1,0,,Enderman,7
870,XZII,1,1,1.0,Armorer,2
871,MPSPAT,1,0,,Knight,8
872,hgsfd,1,1,0.09,Ecologist,3
873,PeepoSack,1,0,,Knight,9
874,ItaiNaim,0,0,0.33,Knight,5
875,T_Tr4p,0,0,,Knight,12
876,bradleyparker1,0,0,,Scout,10
877,little_burley,0,0,,Armorer,6
878,oFlamez_,0,0,,Knight,11
879,yPoH,3,0,,Scout,1
880,QuickSpace,2,0,,Scout,4
881,BadHog007,1,1,,Knight,8
882,VimersYT,1,0,,Knight,5
883,MaxMoso,1,0,,Enderman,2
884,Bikkie,1,0,,Scout,7
885,_M21,1,0,,Farmer,9
886,Codex_mc,0,0,,Pharaoh,11
887,Meerkatsayshi,0,0,,Farmer,12
888,yotonikoo,0,0,,Scout,10
889,deoScrolls,0,0,,Knight,3
890,PeaceTechnoblade,6,0,,Knight,1
891,nahor11,1,0,,Knight,4
892,tasye,1,1,,Scout,3
893,ChargedPine09,1,0,,Frog,7
894,Mypixel_,0,0,,Farmer,5
895,Frokli,0,0,,Scout,12
896,ImUFO,0,0,,Scout,8
897,DeadlyAndWild,0,0,,Scout,11
898,Temuch,0,0,,Scout,9
899,That1ScootBoi,0,0,,Frog,10
900,Elytrous,0,0,,Armorer,6
901,DanielFire65,5,0,0.5,Energix,1
902,ChargedPine09,3,0,0.67,Frog,3
903,white0269,1,0,,Pro,11
904,oojie,1,0,0.0,Ecologist,4
905,bornfrompain2005,0,0,,Ecologist,10
906,Frokli,0,0,,Scout,6
907,olebuba,0,0,,Enderman,12
908,Piaj,0,0,,Farmer,2
909,sotos356,0,0,,Knight,7
910,That1ScootBoi,0,0,,Frog,8
911,euminn,0,0,0.15,Knight,5
912,_xRqd,6,0,,Knight,1
913,Hinkeli_konkeli,1,0,,None,5
914,Enderliy,1,0,,Knight,4
915,Robyn920,0,0,,Salmon,10
916,BeWithMe,0,1,,Scout,6
917,kittycat272,0,0,,Armorer,12
918,AneJIcuH,0,0,,Scout,7
919,kosawleb_,0,1,,Pharaoh,2
920,iSeatz_,0,0,,Armorsmith,11
921,TechnoThePotato2,0,1,,Farmer,9
922,Ronnoc149,0,1,,Knight,8
923,AbigailRice1999,5,0,,Scout,1
924,KakaoMaelk_DK,2,0,,Knight,3
925,Nistan7,0,0,,Ecologist,11
926,lolthegames,0,0,,Frog,5
927,OuO_Pudding_TW,0,0,,Knight,6
928,bigglizzygamer,0,0,,Armorer,12
929,Bubo4Life,0,0,,Knight,2
930,chirdosrsa,0,0,,Jester,8
931,GCJ9,0,0,,Knight,7
932,BuboRules,0,0,0.0,Knight,4
933,Pxzza_,0,0,,Scout,10
934,DerpyAndOfficia1,8,0,,Scout,1
935,AbigailRice1999,2,2,,Scout,3
936,MeganeRain,1,0,,Armorsmith,2
937,Turnns,0,0,,Scout,10
938,AihamGamer1,0,0,,Farmer,7
939,TheFaramir,0,0,,Scout,12
940,yuto51450,0,0,,Armorsmith,9
941,mikkel12345,0,1,,Enderchest,5
942,ON_Vasdas,0,0,,Farmer,6
943,Sunillinosso,0,0,,Enderman,8
944,jfaj,0,0,,Frog,4
945,BlueTiger235,4,0,,Knight,1
946,AbaSaba,2,0,,Knight,8
947,TheFaramir,1,0,,Scout,5
948,apameaYT,1,0,,Scout,7
949,venti1576,1,0,0.33,Knight,2
950,hyakumansan,0,0,,Enderman,4
951,Trymbtw,0,0,,Ecologist,11
952,allen6668,0,0,,Ecologist,10
953,lil_bot_boy,0,0,,Knight,3
954,Xx_jazz_xX,0,0,,Farmer,9
955,Resinosa,0,0,,Knight,6
956,mrBear_gamer,3,0,,Speleologist,1
957,Klausenok,2,1,,Scout,2
958,Synthrow,1,1,,Enderman,3
959,pxqu4,1,0,,Knight,6
960,YuranYT__99228,1,0,,Scout,7
961,qGreek,1,0,0.5,Scout,4
962,oiram_17,1,1,0.33,Ecologist,5
963,Juanlol999,0,0,,Frog,12
964,forgeting,0,0,,Pharaoh,8
965,yuto51450,0,0,0.0,Armorsmith,10
966,Hyorogari,0,0,,Scout,9
967,forgeting,4,0,,Pharaoh,2
968,5_0ed,2,1,0.43,Knight,1
969,ESOSOGI,2,0,,Knight,4
970,shottong,2,0,,Enderman,5
971,clumsypigboy,0,0,,Knight,3
972,Zweibel_,0,0,,Farmer,6
973,allen6668,0,0,,Ecologist,10
974,Trymbtw,0,0,,Ecologist,7
975,yqmqi7,0,0,,Armorer,8
976,Doom_of_Doom100,0,0,,Knight,12
977,frznbear,0,0,0.0,Knight,9
978,Evannarrrr,7,0,,Frog,1
979,OnlyDog,1,0,,Armorer,4
980,SaLEHYT,1,0,,Farmer,10
981,H0tBaD,1,0,0.25,Scout,3
982,Lightning125328,0,0,0.67,Armorer,5
983,YazanEQadri,0,0,,Farmer,2
984,BoyWIthUkeToxic,0,0,,Scout,8
985,Taha_gamer3,0,0,,Farmer,7
986,jac_qui,0,0,,Enderman,6
987,OmegaZeroZ,0,0,,Armorer,9
988,Sp33d_,0,0,,Knight,12
989,iamnoob233,3,0,,Knight,2
990,taka0101,3,0,,Scout,3
991,_xRqd,3,0,,Knight,1
992,Un4v5s8gsVk9Xp,2,0,,Scout,6
993,thaaiszgtz,0,0,,Enderchest,7
994,Mhiw,0,0,,Knight,5
995,Pastil_,0,0,,Knight,4
996,ball5515,0,0,,Armorer,10
997,1tzParadise,0,0,,Pro,12
998,Pxzza_,0,0,,Scout,9
999,SlarX,0,1,,Disco,8
1000,awoogacory,4,0,0.33,Knight,1
1001,DodgieWolf,1,0,,Farmer,3
1002,Pastil_,1,0,,Knight,9
1003,DDinis4,1,0,0.0,Enderchest,2
1004,full_trap,1,0,,None,4
1005,Cookezman,0,0,,Frog,6
1006,IronSeerX,0,0,,Knight,7
1007,OliverZocktXD,0,0,,Armorer,11
1008,The_JCN,0,1,,Knight,5
1009,OMGItsPooPy,0,0,,Enderchest,8
1010,ytpidanek,0,0,,Enderman,12
1011,sallue,6,1,,Scout,1
1012,sejeMat,2,0,,Frog,10
1013,Mateka0130,1,0,,Frog,7
1014,amaterasss,1,1,,Knight,2
1015,Symfoma,1,1,0.29,Ecologist,3
1016,edward565,0,1,,Scout,11
1017,YD3m0nofevil,0,0,,Armorer,12
1018,xDestroyerxD,0,0,,Scout,8
1019,ChaosDarkness,0,0,0.0,Knight,6
1020,TiresomeBee,0,0,,Knight,9
1021,VexingBell5235,0,0,,Ecologist,5
1022,FURAire7,3,0,0.25,Scout,3
1023,RoseHoffman1998,3,0,,Scout,1
1024,in32,1,0,,Scout,6
1025,sallue,1,0,,Scout,7
1026,Siniku,1,0,,Scout,4
1027,Synthrow,0,0,,Enderman,2
1028,9l3a,0,0,,Farmer,11
1029,Earcel,0,0,,Scout,10
1030,Atomasz,0,0,,Armorer,8
1031,RemZis_,0,0,,Ecologist,12
1032,ph03nix_5ire,0,0,,Armorer,9
1033,41_0n,4,0,0.33,Knight,2
1034,zVessel,2,1,0.6,Knight,1
1035,AbaSaba,2,0,,Knight,7
1036,Mantyy,2,0,,Scout,8
1037,XERICKXCD2,1,0,,Armorer,3
1038,NgocToan_VN,0,0,,Ecologist,12
1039,Athezy,0,0,,Scout,11
1040,Earcel,0,1,,Scout,9
1041,Siusior123456,0,0,,Scout,10
1042,LACK_FOX799,0,1,0.67,Knight,6
1043,Bibos_,0,0,,Armorsmith,4
1044,stikitoBG,4,1,,Knight,1
1045,BreadAndCheese_9,2,0,,Farmer,4
1046,Mydist,1,0,0.69,Frog,6
1047,AwareSiren29315,0,0,,Healer,11
1048,Ab_NuNuN,0,0,,Scout,8
1049,Storm_B,0,0,0.0,Disco,10
1050,Csuper_,0,0,,Frog,2
1051,CapLaStreet,0,0,,Knight,9
1052,Crazper,0,0,,Snowman,5
1053,lowpex,0,0,,Chronobreaker,3
1054,StandMl,0,0,,Chronobreaker,12
1055,Captainshaani,5,0,0.3,Knight,1
1056,ClarkGamingYT,2,0,,Knight,6
1057,dumadorian,2,0,,Enderman,4
1058,JellyBe_4N,1,0,,Scout,5
1059,PICSIGOD,1,0,0.26,Frog,2
1060,Fairenoughpvp,0,0,,Scout,11
1061,Nivek_Armstrong,0,0,,Ecologist,7
1062,AdamrRazer,0,1,,Knight,9
1063,BoboBird,0,0,0.57,Scout,3
1064,TechnoKinGGG,0,1,,Scout,8
1065,FreddieDredd_,0,0,,Scout,12
1066,BapeB4,5,0,0.33,Armorer,1
1067,Fabara,3,0,,Slime,2
1068,Magnus_90,2,0,0.5,Scout,7
1069,Itzmy,0,0,,Frog,11
1070,Foxgamer20,0,0,,Armorer,12
1071,Watermelooon69,0,0,,Knight,9
1072,ehmad,0,1,,Frog,5
1073,_Nilo,0,0,,Chronobreaker,6
1074,PatrykHERE,0,0,,End Lord,8
1075,14x0,0,0,,Armorer,4
1076,HungerAnder,0,0,,Scout,10
1077,roenoe,3,0,0.8,Farmer,2
1078,Itz_Nal,2,0,,Chronobreaker,6
1079,dupreehIsTheGOAT,2,0,,Armorer,1
1080,WoodEra,1,0,0.33,Knight,8
1081,Dukus1,0,1,,Farmer,7
1082,Luka_IQ_,0,0,,Knight,4
1083,KmS_4,0,0,,Armorsmith,3
1084,kinmoretime,0,0,,Knight,9
1085,bossness9,0,0,,Knight,10
1086,Doomsayer,0,0,,Pro,12
1087,BarakUri,0,0,,Knight,11
1088,blyarss,4,0,0.0,Scout,1
1089,14x0,1,0,,Armorer,7
1090,puoskar,0,0,,Pharaoh,12
1091,plewed,0,0,,Knight,2
1092,its_luna082,0,0,,Frog,11
1093,legendarylogan88,0,0,,Pharaoh,8
1094,Malopora,0,0,,Pharaoh,10
1095,MsInfo,0,1,,Ecologist,6
1096,I_love_Uniform,0,1,0.4,Scout,5
1097,AB_Ratatouille,0,0,0.0,Knight,9
1098,JellyfishGhost5,0,0,,Armorer,3
1099,RComet,6,0,,Chronobreaker,1
1100,Aidanboy1351,1,0,,Armorer,5
1101,truskaweczka_,1,0,,Armorer,3
1102,xMart_,1,1,,Knight,4
1103,ezMaster_,0,1,,Scout,6
1104,iSamiz,0,0,0.0,Farmer,8
1105,wherekitty,0,0,0.4,Scout,9
1106,Magnus_90,0,0,,Thundermeister,2
1107,CataCombsGod,0,0,,Speleologist,12
1108,qObby,0,1,0.0,Knight,7
1109,Doomsayer,0,0,,Pro,11
1110,kyotears188,4,0,,Armorer,3
1111,MeeSlimey,3,1,,Frog,1
1112,Respawn_TW,2,0,,None,2
1113,decem1x,1,0,,Scout,7
1114,RastZZZ,1,0,,Scout,6
1115,Qronuz,0,0,,Knight,5
1116,Malopora,0,0,,Pharaoh,11
1117,UrMumLikesMqrxo,0,0,,Armorer,8
1118,PleaseTakeL,0,0,,Knight,10
1119,shoxlq,0,0,,Scout,12
1120,mistigram,0,0,,End Lord,9
1121,Gangulya,3,0,,Scout,1
1122,DragonShadowBoi,2,0,,Armorer,3
1123,Launce,1,0,,Scout,6
1124,Panda2lightning,1,0,0.0,Knight,2
1125,Angrykidz3,1,1,,Slime,4
1126,R9_6900X,1,1,,Ecologist,5
1127,Soheib_King,0,0,,Farmer,11
1128,UrMumLikesMqrxo,0,1,,Armorer,7
1129,RastZZZ,0,0,,Scout,12
1130,nvvchsdemise,0,0,,Knight,10
1131,JellyfishGhost5,0,0,,Armorer,9
1132,xabbi,5,1,,Chronobreaker,1
1133,KingPosh,2,1,0.0,Chronobreaker,4
1134,LuCiFer_gangster,1,1,,Scout,6
1135,TheLastGameX,1,0,,Armorer,5
1136,drubXD,1,1,1.0,Knight,8
1137,weeqle,0,1,0.5,Scout,7
1138,a_chez_guy,0,0,,Knight,11
1139,lobsterhunter3,0,0,,Armorer,10
1140,PUXPRO,0,0,,Scout,12
1141,lucasharris2014,0,0,,Knight,9
1142,Tqmatq,0,0,,Chronobreaker,2
1143,agroplayer,3,0,,Chronobreaker,1
1144,onemoretune,3,0,,Scout,3
1145,OnlyDog,1,0,,Armorer,2
1146,MinecraftGirqffe,1,0,,Knight,5
1147,3lk1,0,0,,Ecologist,9
1148,Taco_Mattos,0,0,,Ecologist,7
1149,PleaseTakeL,0,0,,Knight,12
1150,ItsArdi2019,0,0,,Scout,11
1151,ISHAWARMA,0,0,0.0,Armorer,6
1152,ForTheWinGaming,0,0,,Knight,4
1153,truskaweczka_,0,0,,Armorer,10
1154,Rylla,4,0,0.0,Scout,1
1155,zSimqm,3,0,,Knight,3
1156,Svenaage69,2,1,0.26,Knight,2
1157,GentleDragon,0,0,,Fishmonger,10
1158,dhiru,0,0,,Armorer,7
1159,CobelPvP,0,0,,Farmer,12
1160,lily_flower12,0,0,,Knight,9
1161,Mano55,0,0,0.13,Armorer,6
1162,BOngoTromme6,0,2,0.25,Knight,5
1163,TheWolfyMango,0,1,,Salmon,8
1164,blockirb,0,0,,Enderman,11
1165,Mamont228,4,0,,Frog,7
1166,101_101,3,0,0.5,Knight,1
1167,Masterix_,2,0,,Knight,5
1168,Delkaryon,1,0,,Ecologist,4
1169,GriffyPlaysMc,1,0,0.0,Armorsmith,6
1170,GamerYasin151,0,0,,Scout,9
1171,Astratus,0,0,,Frog,3
1172,Dengitron,0,0,,Frog,12
1173,Wildernesss,0,0,,Cannoneer,2
1174,Simse30,0,0,,Ecologist,11
1175,DragonShadowBoi,0,0,,Armorer,8
1176,shoxlq,4,0,,Scout,1
1177,Rylla,3,0,,Scout,3
1178,TheMarych,1,0,,Armorer,2
1179,lowpex,1,0,,Chronobreaker,4
1180,ploknight,0,1,,Knight,8
1181,SrCrazyPvP,0,0,,Armorer,11
1182,factory92,0,0,,Knight,12
1183,IWOMIX,0,0,,Knight,9
1184,ADSstupidcraft,0,0,0.17,Scout,7
1185,GamezZone_,0,1,,Scout,10
1186,unluving,0,0,,Armorer,6
1187,KingPosh,4,0,,Chronobreaker,2
1188,oSyl_,1,0,,Chronobreaker,6
1189,PalaJarrua,1,0,,Knight,5
1190,Summorial,1,1,,Cryomancer,8
1191,Salhza,1,0,,Chronobreaker,1
1192,LilTjay1,1,0,,Ecologist,9
1193,tlxmas,0,0,,Pro,7
1194,bockybricks,0,0,,Scout,3
1195,SilentTOP,0,0,,Scout,10
1196,Doomsayer,0,0,,Pro,12
1197,CalledYarij,0,0,,Ecologist,11
1198,akasakaa,4,0,,Frog,1
1199,FriedMeatball,2,0,,Ecologist,2
1200,DuelHeadedEagal,1,0,,Armorsmith,4
1201,kadishman,1,0,,Farmer,5
1202,Dengitron,1,0,,Frog,7
1203,A9r,0,0,,Farmer,6
1204,oroszlaN99,0,0,0.25,Knight,3
1205,Despixler777,0,0,,Knight,11
1206,Rylla,0,0,,Scout,12
1207,_Exhausted,0,1,,Armorer,10
1208,FreshMaster,0,1,,Knight,9
1209,Ob5id14n,4,0,,Chronobreaker,1
1210,T3rn,3,0,0.0,Knight,5
1211,Casesoup,1,0,,Armorer,3
1212,MinecraftMrMe,1,0,,Chronobreaker,7
1213,ProTheGhoul698,1,0,,Knight,9
1214,waffle1236x,0,0,,Pro,4
1215,wMaddie,0,0,,Pharaoh,12
1216,MinecraftGirqffe,0,0,,Knight,10
1217,Wyliewoozle,0,0,,Armorer,8
1218,Yagenese,0,0,,Knight,2
1219,DinoPixeles,0,0,,Armorer,11
1220,Kolybe,4,0,,Chronobreaker,1
1221,Wolf_Boris,1,1,,Knight,6
1222,raiaprime,1,0,,None,3
1223,TheGreatSomes,1,0,,Magician,2
1224,Mpeos1234,1,0,0.1,None,4
1225,HunterJesse22,0,0,,Knight,7
1226,123combo_LZ,0,0,1.0,None,5
1227,Ob5id14n,0,0,,Chronobreaker,9
1228,TRJonSnow,0,0,,Farmer,10
1229,kaliopi05,0,0,,Knight,8
1230,Kolub1,0,0,,Chronobreaker,12
1231,PleaseTakeL,6,1,0.0,Knight,1
1232,aSpicyIndian,2,0,0.0,Chronobreaker,3
1233,Kalyes,1,0,,Knight,5
1234,A_EXE,1,0,0.0,None,7
1235,Cheboksar1,1,1,,Armorer,9
1236,L1ght1207,0,1,,Pharaoh,8
1237,Summorial,0,0,,Chronobreaker,12
1238,lifes1ck,0,1,0.13,Frog,2
1239,V0V0YT,0,0,0.33,Knight,4
1240,Ciassss,0,0,,Chronobreaker,11
1241,Nitron09,0,0,,Monster Trainer,6
1242,Kirvel,4,0,,Knight,1
1243,NotUres,3,0,0.0,End Lord,4
1244,I_Love_Sakura_,1,0,,Scout,2
1245,Rewardings,1,1,,Chronobreaker,5
1246,TheGreatSomes,1,0,,Fisherman,3
1247,Gillion,0,0,,Scout,8
1248,L1ght1207,0,0,,Pharaoh,12
1249,JO4UMYT,0,0,0.0,Ecologist,6
1250,mkfs_ext4,0,1,,Armorer,10
1251,Owcean,0,0,,Armorer,9
1252,DoItNowOrNever,0,1,,Ecologist,11
1253,MinecraftMrMe,3,0,,Frog,1
1254,Jppickscope,2,0,0.13,Farmer,2
1255,KaalkongenBob,1,0,,Ecologist,3
1256,ozyv,1,0,,Chronobreaker,4
1257,Gillion,0,0,,Pro,8
1258,Vinixsz,0,0,,End Lord,7
1259,Yan_Lee,0,0,,Frog,12
1260,Dakrkyoyo,0,0,,Knight,6
1261,Tekkze,0,0,,Cryomancer,11
1262,OkeyPro,0,0,,Enderman,9
1263,EvideDark,0,0,,Scout,10
1264,gfsx_,2,0,,Chronobreaker,4
1265,MuddyCupp,2,0,,Pro,2
1266,bajbye,1,0,,Chronobreaker,5
1267,Yan_Lee,1,0,,Frog,3
1268,Ololplopp,1,0,,Enderman,9
1269,AtomicF1ame,0,0,,Scout,11
1270,Ibtv,0,0,,Cannoneer,6
1271,Firedragon576,0,0,,Knight,12
1272,TigerVinceNV,0,0,,Knight,10
1273,TruebeanShown,0,0,,None,7
1274,Luka939,0,0,,Pro,8
1275,StaffdeMoses,2,0,,Knight,3
1276,xaIdAn_sTiNkSxx,2,0,,Armorer,6
1277,Karpysha,1,0,,Scout,2
1278,speedy_general,0,0,,Scout,10
1279,L1Que1,0,0,,Knight,7
1280,_berrys_,0,1,,Chronobreaker,8
1281,PeskyOutScope,0,0,,Armorsmith,12
1282,syN0Nyms,0,1,,Armorsmith,9
1283,Limoozaaa,0,0,,Scout,5
1284,Ahstrul,0,0,,Knight,4
1285,AlekDavid_,0,0,,Armorsmith,11
1286,Umeld,5,0,,Scout,1
1287,FlyDwen,3,0,0.33,Chronobreaker,2
1288,Dylllon,2,1,,Frog,4
1289,Aidanboy1351,0,1,,Armorer,6
1290,ZOIO_DD,0,0,,Knight,10
1291,AidenBatman77,0,0,,Pharaoh,11
1292,jujubean10000,0,1,,Frog,7
1293,Lsport476,0,1,0.0,Armorer,3
1294,Wildernesss,0,0,,Enderman,12
